entry	function	register	class	first reader / imports
97bc4748	TPPStreamCompiler::newIndirectOperandFromConstant	r8	PASS-no	97bc479c bl 0x97c1ea80	; symbol stub for: __Znwm
97bc4f74	TPPStreamCompiler::equalOperands	r8	PASS-indirect	97bc4fb4 bl __ZN17TPPStreamCompiler22IndirectAddress
97bc4f74	TPPStreamCompiler::equalOperands	r10	PASS-indirect	97bc4fb4 bl __ZN17TPPStreamCompiler22IndirectAddress
97bc5b60	TPPStreamCompiler::assignOperands	r7	PASS-indirect	97bc5b90 bl __ZN17TPPStreamCompiler22IndirectAddress
97bc5b60	TPPStreamCompiler::assignOperands	r8	PASS-indirect	97bc5b90 bl __ZN17TPPStreamCompiler22IndirectAddress
97bc5b60	TPPStreamCompiler::assignOperands	r9	PASS-indirect	97bc5b90 bl __ZN17TPPStreamCompiler22IndirectAddress
97bc5b60	TPPStreamCompiler::assignOperands	r10	PASS-indirect	97bc5b90 bl __ZN17TPPStreamCompiler22IndirectAddress
97bc62c4	TPPStreamCompiler::getArrayOffset	r7	PASS-no	97bc62f4 bl 0x97c21c20	; symbol stub for: __ZN16Pars
97bc62c4	TPPStreamCompiler::getArrayOffset	r8	PASS-no	97bc62f4 bl 0x97c21c20	; symbol stub for: __ZN16Pars
97bc62c4	TPPStreamCompiler::getArrayOffset	r10	PASS-no	97bc62f4 bl 0x97c21c20	; symbol stub for: __ZN16Pars
97bc6458	TPPStreamCompiler::constructReplicate	r7	PASS-indirect	97bc647c bl __ZN17TPPStreamCompiler22IndirectAddress
97bc6458	TPPStreamCompiler::constructReplicate	r8	PASS-indirect	97bc647c bl __ZN17TPPStreamCompiler22IndirectAddress
97bc66d8	TPPStreamCompiler::constructDiagonal	r7	PASS-indirect	97bc66fc bl __ZN17TPPStreamCompiler22IndirectAddress
97bc66d8	TPPStreamCompiler::constructDiagonal	r8	PASS-indirect	97bc66fc bl __ZN17TPPStreamCompiler22IndirectAddress
97bc66d8	TPPStreamCompiler::constructDiagonal	r10	PASS-indirect	97bc66fc bl __ZN17TPPStreamCompiler22IndirectAddress
97bc6c84	TPPStreamCompiler::constructElement	r7	PASS-indirect	97bc6ce4 bl 0x97c21260	; symbol stub for: __ZNK12Par
97bc6c84	TPPStreamCompiler::constructElement	r8	PASS-indirect	97bc6ce4 bl 0x97c21260	; symbol stub for: __ZNK12Par
97bc6c84	TPPStreamCompiler::constructElement	r10	PASS-indirect	97bc6ce4 bl 0x97c21260	; symbol stub for: __ZNK12Par
97bc7354	TPPStreamCompiler::constructFromOperand	r7	PASS-indirect	97bc7790 bl 0x97c1ea80	; symbol stub for: __Znwm
97bc7354	TPPStreamCompiler::constructFromOperand	r8	PASS-indirect	97bc7790 bl 0x97c1ea80	; symbol stub for: __Znwm
97bc7b04	TPPStreamCompiler::FinishScalerSelect	r7	PASS-indirect	97bc7b88 bl __ZN17TPPStreamCompiler22IndirectAddress
97bc7b04	TPPStreamCompiler::FinishScalerSelect	r8	PASS-indirect	97bc7b88 bl __ZN17TPPStreamCompiler22IndirectAddress
97bc7b04	TPPStreamCompiler::FinishScalerSelect	r10	PASS-indirect	97bc7b88 bl __ZN17TPPStreamCompiler22IndirectAddress
97bc7d5c	__ZN17TPPStreamCompiler22IndirectAddressHandlerEPP12ParseOperandi	r7	PASS-indirect	97bc7d9c bl __ZN17TPPStreamCompiler18newNodeFromOper
97bc7d5c	__ZN17TPPStreamCompiler22IndirectAddressHandlerEPP12ParseOperandi	r8	PASS-indirect	97bc7d9c bl __ZN17TPPStreamCompiler18newNodeFromOper
97bc7d5c	__ZN17TPPStreamCompiler22IndirectAddressHandlerEPP12ParseOperandi	r10	PASS-indirect	97bc7d9c bl __ZN17TPPStreamCompiler18newNodeFromOper
97bc89fc	TPPStreamCompiler::generateAddressLoad	r6	PASS-deep	97bc8a90 bl __ZN17TPPStreamCompiler21getOperandAsSou
