00006524	16	stub	n/a	FUN_00006524	
00006540	84	method	MISSING	IOATIR500Accelerator::system_will_sleep	__ZN20IOATIR500Accelerator17system_will_sleepEv
00006594	16	stub	n/a	FUN_00006594	
000065a4	16	stub	n/a	FUN_000065a4	
000065c0	840	method	MISSING	IOATIR500Accelerator::stop	__ZN20IOATIR500Accelerator4stopEP9IOService
00006908	16	stub	n/a	FUN_00006908	
00006918	16	stub	n/a	IOATIR500Accelerator::freeCommandBuffer	
00006928	16	stub	n/a	IOATIR500Accelerator::freeAllDataBuffers	
00006938	16	stub	n/a	IOATIR500Accelerator::freeAllCommandBuffers	
00006948	16	stub	n/a	IOATIR500Shared::free_texvert	
00006960	344	method	DONE	IOATIR500Accelerator::allocOneDataBuffer	__ZN20IOATIR500Accelerator18allocOneDataBufferEmb
00006ab8	16	stub	n/a	IOATIR500Accelerator::allocDataBufferBacking	
00006ad0	636	method	MISSING	IOATIR500Accelerator::disp_mode_will_change	__ZN20IOATIR500Accelerator21disp_mode_will_changeEl
00006d4c	16	stub	n/a	IOATIR500Surface::move_buffer_to_backing_store	
00006d5c	16	stub	n/a	IOATIR500Shared::free_texvert	
00006d6c	16	stub	n/a	IOATIR500Accelerator::setup_stereo	
00006d80	68	generated	DONE	IOATIR500GLContext::IOATIR500GLContext	__ZN18IOATIR500GLContextC2EPK11OSMetaClass
00006dc4	16	stub	n/a	FUN_00006dc4	
00006de0	68	generated	DONE	IOATIR500GLContext::IOATIR500GLContext	__ZN18IOATIR500GLContextC1EPK11OSMetaClass
00006e24	16	stub	n/a	FUN_00006e24	
00006e40	60	generated	DONE	IOATIR500GLContext::~IOATIR500GLContext	__ZN18IOATIR500GLContextD2Ev
00006e7c	16	stub	n/a	FUN_00006e7c	
00006e90	72	generated	DONE	IOATIR500GLContext::~IOATIR500GLContext	__ZN18IOATIR500GLContextD0Ev
00006ed8	16	stub	n/a	FUN_00006ed8	
00006ee8	16	stub	n/a	FUN_00006ee8	
00006f00	12	generated	DONE	IOATIR500GLContext::getMetaClass	__ZNK18IOATIR500GLContext12getMetaClassEv
00006f10	88	generated	DONE	IOATIR500GLContext::MetaClass::MetaClass	__ZN18IOATIR500GLContext9MetaClassC1Ev
00006f68	16	stub	n/a	FUN_00006f68	
00006f80	88	generated	DONE	IOATIR500GLContext::MetaClass::MetaClass	__ZN18IOATIR500GLContext9MetaClassC2Ev
00006fd8	16	stub	n/a	FUN_00006fd8	
00006ff0	8	generated	DONE	IOATIR500GLContext::MetaClass::alloc	__ZNK18IOATIR500GLContext9MetaClass5allocEv
00007000	292	method	DONE	IOATIR500GLContext::freeAllContextBuffers	__ZN18IOATIR500GLContext21freeAllContextBuffersEv
00007130	116	method	MISSING	IOATIR500GLContext::clientClose	__ZN18IOATIR500GLContext11clientCloseEv
000071b0	240	method	DONE	IOATIR500GLContext::remove_texture_from_stream	__ZN18IOATIR500GLContext26remove_texture_from_streamEP19VendorTextureBuffer
000072c0	328	method	DONE	IOATIR500GLContext::add_texture_to_stream	__ZN18IOATIR500GLContext21add_texture_to_streamEP19VendorTextureBuffer
00007414	16	stub	n/a	IOATIR500GLContext::add_texture_to_stream	
00007424	16	stub	n/a	FUN_00007424	
00007440	72	method	DONE	IOATIR500GLContext::init_command_buffer_header	__ZN18IOATIR500GLContext26init_command_buffer_headerEP25VendorCommandBufferHeadermm
00007490	56	method	DONE	IOATIR500GLContext::init_context_buffer_header	__ZN18IOATIR500GLContext26init_context_buffer_headerEP25VendorContextBufferHeaderm
000074d0	408	method	DONE	IOATIR500GLContext::allocAllContextBuffers	__ZN18IOATIR500GLContext22allocAllContextBuffersEm
00007668	16	stub	n/a	IOATIR500GLContext::init_context_buffer_header	
00007678	16	stub	n/a	FUN_00007678	
00007690	724	method	DONE	IOATIR500GLContext::start	__ZN18IOATIR500GLContext5startEP9IOService
00007964	16	stub	n/a	IOATIR500GLContext::allocAllContextBuffers	
00007974	16	stub	n/a	IOATIR500Accelerator::allocCommandBuffer	
00007984	16	stub	n/a	IOATIR500Accelerator::getVRAMDescriptors	
00007994	16	stub	n/a	IOATIR500Shared::IOATIR500Shared	
000079a4	16	stub	n/a	FUN_000079a4	
000079c0	12	method	MISSING	IOATIR500GLContext::remove_surface	__ZN18IOATIR500GLContext14remove_surfaceEv
000079d0	112	method	DONE	IOATIR500GLContext::map_transfer_to_GART	__ZN18IOATIR500GLContext20map_transfer_to_GARTEP20VendorTransferBuffer
00007a40	16	stub	n/a	IOATIR500Accelerator::freeToAllocGART	
00007a50	260	method	DONE	IOATIR500GLContext::freeToAllocGART	__ZN18IOATIR500GLContext15freeToAllocGARTEP20VendorTransferBufferb
00007b54	16	stub	n/a	IOATIR500Accelerator::freeTransferToAllocGART	
00007b70	36	method	MISSING	IOATIR500GLContext::setCompatibleSurfaceMode	__ZN18IOATIR500GLContext24setCompatibleSurfaceModeEPl20eIOGLContextModeBitsl
00007ba0	84	method	DONE	IOATIR500GLContext::set_swap_rect	__ZN18IOATIR500GLContext13set_swap_rectEllll
00007c00	76	method	DONE	IOATIR500GLContext::set_swap_interval	__ZN18IOATIR500GLContext17set_swap_intervalEll
00007c50	56	method	DONE	IOATIR500GLContext::set_surface_volatile_state	__ZN18IOATIR500GLContext26set_surface_volatile_stateEm
00007c88	16	stub	n/a	IOATIR500Surface::set_volatile_state	
00007ca0	168	method	DONE	IOATIR500GLContext::get_surface_size	__ZN18IOATIR500GLContext16get_surface_sizeEPlS0_S0_S0_
00007d60	120	method	DONE	IOATIR500GLContext::finish	__ZN18IOATIR500GLContext6finishEv
00007de0	116	method	DONE	IOATIR500GLContext::wait_for_stamp	__ZN18IOATIR500GLContext14wait_for_stampEm
00007e60	4	method	MISSING	IOATIR500GLContext::set_texture_flags	__ZN18IOATIR500GLContext17set_texture_flagsEP19VendorTextureBuffer
00007e70	272	method	DONE	IOATIR500GLContext::freeCommandBuffer	__ZN18IOATIR500GLContext17freeCommandBufferEv
00007f8c	16	stub	n/a	FUN_00007f8c	
00007fa0	904	method	DONE	IOATIR500GLContext::stop	__ZN18IOATIR500GLContext4stopEP9IOService
00008330	16	stub	n/a	IOATIR500Shared::delete_texture	
00008340	16	stub	n/a	FUN_00008340	
00008350	16	stub	n/a	IOATIR500Surface::prune_buffers	
00008360	16	stub	n/a	IOATIR500Surface::remove_gl_context_from_list	
00008370	16	stub	n/a	IOATIR500Accelerator::freeCommandBuffer	
00008380	16	stub	n/a	IOATIR500GLContext::freeAllContextBuffers	
00008390	16	stub	n/a	IOATIR500Accelerator::freeOneDataBuffer	
000083a0	16	stub	n/a	IOATIR500GLContext::freeCommandBuffer	
000083b0	4	method	MISSING	IOATIR500GLContext::add_vendor_surface_required_bits	__ZN18IOATIR500GLContext32add_vendor_surface_required_bitsE20eIOGLContextModeBits
000083c0	368	method	DONE	IOATIR500GLContext::reclaim_resources	__ZN18IOATIR500GLContext17reclaim_resourcesEv
00008540	16	stub	n/a	FUN_00008540	
00008550	16	stub	n/a	IOATIR500Accelerator::freeOneDataBuffer	
00008560	16	stub	n/a	FUN_00008560	
00008570	116	method	DONE	__static_initialization_and_destruction_0	__Z41__static_initialization_and_destruction_0ii
000085f0	16	stub	n/a	IOATIR500GLContext::MetaClass::MetaClass	
00008600	60	generated	DONE	IOATIR500GLContext::MetaClass::~MetaClass	__ZN18IOATIR500GLContext9MetaClassD0Ev
0000863c	16	stub	n/a	FUN_0000863c	
0000867c	16	stub	n/a	__static_initialization_and_destruction_0	
000086bc	16	stub	n/a	__static_initialization_and_destruction_0	
000086d0	172	method	DONE	IOATIR500GLContext::connectClient	__ZN18IOATIR500GLContext13connectClientEP12IOUserClient
00008784	16	stub	n/a	FUN_00008784	
00008794	16	stub	n/a	FUN_00008794	
000087b0	864	method	SIG?	IOATIR500GLContext::set_surface	__ZN18IOATIR500GLContext11set_surfaceEm20eIOGLContextModeBitsmm
00008b34	16	stub	n/a	FUN_00008b34	
00008b44	16	stub	n/a	IOATIR500Surface::add_gl_context_to_list	
00008b54	16	stub	n/a	IOATIR500Surface::reset_req_bits	
00008b64	16	stub	n/a	IOATIR500Surface::prune_buffers	
00008b74	16	stub	n/a	IOATIR500Surface::remove_gl_context_from_list	
00008b84	16	stub	n/a	IOATIR500Accelerator::find_surface_for_id	
00008b94	16	stub	n/a	FUN_00008b94	
00008bb0	276	method	DONE	IOATIR500GLContext::get_surface_info	__ZN18IOATIR500GLContext16get_surface_infoEmPlS0_S0_
00008cd4	16	stub	n/a	FUN_00008cd4	
00008ce4	16	stub	n/a	IOATIR500Accelerator::find_surface_for_id	
00008cf4	16	stub	n/a	FUN_00008cf4	
